year-month,city,#trips
2019-01,Chicago,103272
2019-01,NYC,967287
2019-01,San Francisco,192082
2019-02,Chicago,96186
2019-02,NYC,943744
2019-02,San Francisco,183412
2019-03,Chicago,165611
2019-03,NYC,1327960
2019-03,San Francisco,256299
2019-04,Chicago,265310
2019-04,NYC,1766094
2019-04,San Francisco,239111
2019-05,Chicago,367458
2019-05,NYC,1924563
2019-05,San Francisco,182163
2019-06,Chicago,475395
2019-06,NYC,2125370
2019-06,San Francisco,191758
2019-07,Chicago,557315
2019-07,NYC,2181064
2019-07,San Francisco,258100
2019-08,Chicago,590184
2019-08,NYC,2344224
2019-08,San Francisco,210579
2019-09,Chicago,493219
2019-09,NYC,2444900
2019-09,San Francisco,217986
2019-10,Chicago,371786
2019-10,NYC,2092573
2019-10,San Francisco,239895
2019-11,Chicago,177176
2019-11,NYC,1478708
2019-11,San Francisco,185491
2019-12,Chicago,155092
2019-12,NYC,955210
2019-12,San Francisco,150107
2020-01,Chicago,143884
2020-01,NYC,1240596
2020-01,San Francisco,295854
2020-02,Chicago,139585
2020-02,NYC,1146830
2020-02,San Francisco,424789
2020-03,Chicago,143418
2020-03,NYC,1068457
2020-03,San Francisco,182632
2020-04,Chicago,84776
2020-04,NYC,682762
2020-04,San Francisco,86151
2020-05,Chicago,200274
2020-05,NYC,1487890
2020-05,San Francisco,138522
2020-06,Chicago,343005
2020-06,NYC,1882273
2020-06,San Francisco,158410
2020-07,Chicago,551480
2020-07,NYC,2105808
2020-07,San Francisco,155248
2020-08,Chicago,622361
2020-08,NYC,2329514
2020-08,San Francisco,152690
2020-09,Chicago,532958
2020-09,NYC,2488225
2020-09,San Francisco,144348
2020-10,Chicago,388653
2020-10,NYC,2248869
2020-10,San Francisco,167541
2020-11,Chicago,259716
2020-11,NYC,1736704
2020-11,San Francisco,133020
2020-12,Chicago,131573
2020-12,NYC,1088929
2020-12,San Francisco,106422
2021-01,Chicago,96834
2021-01,NYC,1095346
2021-01,San Francisco,102363
2021-02,Chicago,49622
2021-02,NYC,649983
2021-02,San Francisco,111073
2021-03,Chicago,228496
2021-03,NYC,1531094
2021-03,San Francisco,131960
2021-04,Chicago,337230
2021-04,NYC,2067669
2021-04,San Francisco,146002
2021-05,Chicago,531633
2021-05,NYC,2724165
2021-05,San Francisco,169642
2021-06,Chicago,729595
2021-06,NYC,3177517
2021-06,San Francisco,198493
2021-07,Chicago,822410
2021-07,NYC,3084537
2021-07,San Francisco,213922
2021-08,Chicago,804352
2021-08,NYC,3072478
2021-08,San Francisco,207023
2021-09,Chicago,756147
2021-09,NYC,3280221
2021-09,San Francisco,212512
2021-10,Chicago,631226
2021-10,NYC,3069239
2021-10,San Francisco,222570
2021-11,Chicago,359978
2021-11,NYC,2159283
2021-11,San Francisco,183765
2021-12,Chicago,247540
2021-12,NYC,1748287
2021-12,San Francisco,135838
2022-01,Chicago,103770
2022-01,NYC,1052349
2022-01,San Francisco,151226
